genetic;length;mass;exercise;smoking;alcohol;lifespan;sugar;labels
78.1;201.0;87.1;3.5;2.4;4.9;79.1;8.5;0
79.3;169.0;127.7;1.6;16.5;1.5;72.7;8.5;0
101.0;174.0;103.9;2.4;0.5;5.2;99.5;10.7;0
81.9;162.0;87.9;1.8;18.5;5.1;80.3;11.0;0
74.0;176.0;79.5;3.9;21.7;4.3;71.5;8.2;0
85.5;208.0;129.9;1.2;3.8;4.5;83.1;4.0;0
85.3;204.0;72.9;1.2;0.3;1.5;85.0;8.9;0
94.1;176.0;97.0;3.0;1.8;1.3;93.6;5.6;0
94.2;192.0;98.5;1.2;17.1;2.2;89.7;7.9;0
79.6;177.0;81.3;1.2;13.0;2.0;76.8;8.2;0
91.0;178.0;137.6;3.5;9.6;2.1;88.9;8.3;0
86.4;174.0;99.9;0.9;11.9;4.2;81.2;2.3;0
69.6;177.0;105.5;4.6;20.7;2.9;63.4;1.8;0
84.1;170.0;70.3;3.9;5.0;0.8;85.0;8.1;0
78.5;177.0;105.8;2.5;13.8;4.4;73.2;11.0;0
93.8;184.0;96.8;3.4;4.0;4.4;94.4;4.8;0
76.6;179.0;123.3;1.6;7.1;0.4;73.7;13.6;0
86.1;176.0;64.4;2.0;16.4;2.0;83.0;3.5;0
79.7;169.0;58.6;2.0;14.6;2.3;76.3;6.5;0
85.6;189.0;138.9;1.4;10.6;4.5;80.2;7.8;0
83.8;201.0;78.2;1.1;0.2;5.0;82.9;4.7;0
80.9;174.0;56.7;2.0;0.3;2.0;80.9;8.1;0
75.6;200.0;85.4;3.1;8.5;6.0;74.4;5.3;0
92.7;188.0;57.0;2.9;3.8;5.0;91.4;5.4;0
81.1;167.0;63.9;1.8;14.0;0.1;78.8;11.4;0
80.2;199.0;82.0;3.8;0.7;2.4;82.3;4.2;0
81.6;179.0;108.7;2.7;21.2;0.2;80.4;7.1;0
84.4;163.0;68.4;2.2;2.8;1.2;85.0;7.1;0
66.2;169.0;95.7;1.8;7.3;0.3;65.1;11.4;0
85.6;187.0;103.6;2.1;0.2;0.5;86.6;3.4;0
90.0;169.0;77.4;3.6;13.0;1.5;88.7;8.3;0
73.6;200.0;53.0;4.4;10.2;0.7;72.9;3.6;0
81.6;196.0;74.6;2.9;15.4;4.7;79.4;4.5;0
85.8;171.0;102.8;1.2;2.8;0.9;84.3;5.3;0
81.6;171.0;142.3;1.2;19.7;0.4;73.6;8.0;0
85.3;193.0;86.1;2.8;15.4;5.1;80.0;6.7;0
81.7;197.0;64.2;3.8;13.8;3.3;80.4;3.1;0
84.6;201.0;62.6;3.5;11.4;1.4;83.0;3.1;0
93.2;182.0;95.3;4.0;9.8;4.7;91.3;6.0;0
99.5;179.0;85.5;2.5;10.0;5.7;96.3;9.7;0
88.3;180.0;92.3;3.0;1.0;2.4;89.8;5.2;0
79.3;168.0;70.0;2.0;17.8;3.9;75.9;10.1;0
72.1;205.0;135.6;3.7;3.0;4.8;71.4;6.0;0
97.0;185.0;74.2;3.7;10.9;4.0;95.1;7.4;0
89.8;186.0;107.1;3.2;10.7;4.8;88.4;9.8;0
80.6;184.0;59.6;2.3;15.4;1.3;77.0;1.7;0
84.3;164.0;105.0;4.3;19.8;4.5;78.9;8.0;0
80.6;169.0;68.0;2.7;9.1;4.9;80.0;4.9;0
79.4;178.0;143.3;0.2;13.1;2.1;71.3;10.3;0
89.8;185.0;109.9;1.5;0.5;5.1;88.0;8.8;0
86.6;171.0;115.1;1.3;1.8;0.4;84.6;7.1;0
89.9;173.0;85.6;2.7;21.0;1.7;86.6;6.0;0
90.3;206.0;128.5;2.1;1.4;3.9;89.8;7.0;0
77.8;171.0;111.2;3.9;0.4;5.1;77.6;4.9;0
82.4;166.0;113.1;0.1;18.1;4.7;74.1;6.0;0
85.3;196.0;113.0;2.0;10.7;0.6;82.5;7.4;0
84.7;173.0;105.0;1.5;5.4;4.2;81.8;3.9;0
87.9;210.0;65.3;2.4;11.0;4.2;84.4;2.1;0
75.6;179.0;61.6;2.3;20.3;1.4;70.6;4.9;0
81.1;205.0;61.4;1.2;7.6;4.6;78.1;5.2;0
67.2;181.0;129.2;2.2;3.0;0.5;65.4;10.7;0
77.2;165.0;61.8;3.1;5.8;5.3;76.4;8.0;0
69.7;170.0;93.4;1.2;11.7;3.8;65.5;11.8;0
88.7;177.0;123.3;1.7;11.6;2.1;85.3;2.5;0
73.6;198.0;135.1;2.5;6.1;4.5;71.9;8.4;0
76.8;194.0;66.8;1.8;15.5;0.9;73.9;7.8;0
82.7;178.0;86.9;4.3;0.8;0.5;86.3;4.9;0
84.7;189.0;115.4;2.6;9.6;4.8;82.8;8.0;0
77.1;191.0;54.6;2.1;20.0;0.4;72.9;7.1;0
76.7;173.0;70.9;1.7;11.6;1.3;74.4;4.7;0
100.1;188.0;129.2;1.8;0.1;4.6;100.1;6.9;0
76.7;198.0;61.6;1.4;1.2;1.7;76.8;4.8;0
76.6;190.0;74.1;1.4;20.6;0.3;73.0;6.8;0
98.1;179.0;72.1;2.2;11.6;3.1;96.1;8.1;0
92.7;191.0;68.3;3.5;8.0;1.3;91.8;4.7;0
79.8;193.0;123.0;1.8;18.0;1.7;76.2;6.1;0
76.2;184.0;94.1;1.4;6.5;2.8;75.8;7.3;0
90.2;172.0;76.3;0.2;11.0;3.6;86.1;8.5;0
81.5;198.0;73.1;1.7;16.6;3.9;76.9;4.3;0
79.2;194.0;80.3;3.4;17.5;3.8;74.9;9.0;0
75.8;188.0;115.1;1.8;4.1;3.5;74.3;6.8;0
75.6;181.0;87.4;3.4;5.0;4.2;73.7;11.3;0
77.4;210.0;76.6;1.6;2.3;0.1;77.3;12.7;0
78.9;184.0;85.5;2.9;11.0;0.8;77.8;6.1;0
77.2;177.0;113.9;2.9;21.9;0.6;75.6;4.7;0
89.4;182.0;106.8;1.5;18.7;4.5;84.0;11.8;0
77.3;171.0;88.3;1.6;14.7;0.3;74.4;10.6;0
77.7;184.0;146.0;1.9;1.4;4.5;76.3;3.4;0
88.0;174.0;84.4;3.2;1.9;4.7;88.7;5.6;0
73.5;174.0;142.7;1.7;20.1;3.0;63.4;5.2;0
74.9;182.0;112.7;4.2;0.2;0.4;75.0;10.4;0
98.0;191.0;154.8;2.7;17.3;0.5;92.5;6.5;0
86.0;184.0;115.6;0.8;21.6;4.3;79.0;8.7;0
91.8;160.0;92.0;4.7;15.1;0.6;92.6;10.1;0
68.9;192.0;83.0;3.4;6.1;2.6;68.4;8.0;0
81.7;163.0;110.3;1.4;16.8;4.8;77.3;3.6;0
91.7;178.0;70.8;0.9;7.5;1.2;90.2;7.0;0
78.7;173.0;96.5;1.7;8.9;0.4;75.3;4.8;0
69.5;171.0;55.0;4.0;0.6;0.7;71.1;7.9;0
76.3;209.0;82.9;1.5;16.6;0.5;72.3;7.1;0
78.3;169.0;113.5;1.7;0.2;1.0;77.7;6.2;0
86.3;185.0;66.4;2.3;19.1;0.9;81.1;10.4;0
82.2;205.0;94.6;2.8;6.9;5.3;81.0;4.4;0
84.3;177.0;96.1;1.3;9.6;5.3;80.8;7.1;0
73.3;198.0;159.5;1.7;19.4;4.6;62.7;7.1;0
80.0;176.0;74.3;5.4;5.0;1.5;81.8;5.6;0
79.5;198.0;60.7;2.4;3.4;5.4;80.6;3.2;0
74.1;202.0;91.5;1.4;18.7;0.9;70.5;8.0;0
88.7;181.0;79.4;1.8;4.5;0.3;87.7;13.3;0
86.8;196.0;96.9;2.0;12.4;3.9;84.3;5.1;0
76.7;172.0;107.4;3.1;9.6;3.5;73.9;10.5;0
84.5;178.0;56.0;3.2;13.8;0.8;83.2;6.8;0
80.4;184.0;51.0;1.5;1.1;0.5;80.2;5.8;0
81.8;172.0;98.8;3.0;3.7;5.0;81.6;9.2;0
75.5;171.0;97.9;1.3;7.6;0.3;73.7;2.3;0
91.4;188.0;97.6;1.3;14.1;4.3;88.0;6.7;0
93.7;192.0;64.5;2.6;18.4;5.1;89.6;6.3;0
86.2;197.0;97.5;3.6;1.0;4.1;86.9;3.2;0
82.6;200.0;102.7;1.7;10.1;2.7;81.0;2.3;0
71.6;191.0;110.5;5.3;12.7;3.6;72.2;3.7;0
75.9;187.0;66.0;2.0;16.1;4.2;70.8;8.2;0
93.2;163.0;112.5;4.7;12.8;0.7;89.8;7.0;0
86.0;167.0;119.1;3.3;20.2;0.4;79.9;6.2;0
83.8;199.0;57.3;1.8;0.1;1.1;84.0;3.2;0
84.3;170.0;108.9;3.5;18.6;1.0;79.2;4.5;0
90.5;179.0;65.5;2.1;11.8;0.9;86.5;0.8;0
75.7;203.0;60.8;2.5;17.9;0.8;71.9;6.2;0
92.1;192.0;83.3;1.6;21.6;0.2;85.6;8.7;0
73.0;191.0;82.9;2.6;10.7;0.1;71.1;7.0;0
77.0;179.0;138.8;2.6;21.6;0.2;72.5;4.4;0
81.1;173.0;53.9;1.9;0.2;5.0;81.0;8.9;0
92.6;201.0;108.7;2.3;12.2;3.5;90.0;11.9;0
85.5;209.0;74.6;0.5;20.7;3.8;77.4;2.4;0
80.0;184.0;118.0;2.4;15.3;0.9;77.0;9.1;0
84.6;187.0;62.3;2.3;19.9;0.5;80.0;7.7;0
76.2;175.0;59.1;1.8;17.5;0.4;72.6;6.0;0
84.0;191.0;69.0;1.9;13.0;5.3;79.4;8.3;0
85.3;178.0;103.3;0.7;9.9;0.9;82.2;12.2;0
77.2;175.0;106.5;3.3;19.0;1.7;72.5;9.1;0
65.3;190.0;50.5;1.0;7.4;2.3;62.9;4.5;0
80.1;193.0;79.0;2.5;15.4;4.2;75.5;5.7;0
83.7;204.0;129.2;1.8;6.3;4.2;82.6;2.8;0
84.8;183.0;108.4;4.6;11.3;0.4;83.3;7.2;0
92.7;175.0;122.6;1.8;0.0;0.8;92.0;4.0;0
79.8;172.0;148.5;2.3;5.4;0.7;75.8;9.7;0
75.9;206.0;83.8;2.1;3.0;0.4;77.2;2.6;0
85.0;166.0;90.1;3.1;18.1;0.2;82.4;3.6;0
91.5;177.0;107.1;3.7;14.1;3.2;89.6;3.1;0
86.1;182.0;66.3;3.9;0.9;0.2;88.7;3.1;0
77.3;193.0;114.8;2.1;8.2;0.9;74.7;9.0;0
81.3;175.0;50.4;2.3;13.2;1.7;78.8;11.8;0
83.5;177.0;63.8;4.2;4.5;0.7;85.6;2.3;0
83.6;200.0;107.2;1.8;0.4;1.0;84.2;9.3;0
78.8;181.0;94.4;3.7;16.8;5.3;73.6;2.3;0
81.1;175.0;51.4;0.5;9.8;4.1;78.3;2.9;0
78.0;185.0;72.9;3.1;4.4;3.7;78.6;12.2;0
67.1;181.0;98.8;1.5;12.2;0.7;64.2;5.7;0
78.6;179.0;52.9;3.6;4.5;0.4;79.3;2.8;0
85.5;196.0;131.7;1.9;11.3;1.5;81.6;8.3;0
83.2;191.0;73.5;2.8;15.3;0.4;80.2;1.2;0
91.0;183.0;63.3;1.0;13.9;4.9;86.9;8.8;0
78.2;172.0;76.0;2.1;12.5;2.4;76.3;8.6;0
77.3;189.0;128.9;4.5;0.1;1.0;79.5;5.4;0
78.7;201.0;68.3;2.3;16.4;0.7;75.6;7.0;0
98.5;188.0;105.9;0.8;0.1;4.6;95.8;8.0;0
79.3;191.0;61.8;4.5;7.6;3.9;78.5;9.1;0
72.4;166.0;125.2;1.4;19.5;1.7;65.3;7.9;0
80.8;170.0;94.3;1.1;15.8;1.6;77.0;4.5;0
77.8;168.0;112.1;0.7;17.7;0.3;72.1;10.0;0
91.1;166.0;64.2;2.7;1.4;2.2;92.2;5.9;0
75.0;199.0;136.9;1.5;10.5;4.2;71.9;3.9;0
79.3;179.0;68.2;2.9;17.9;4.0;72.8;3.7;0
76.3;194.0;70.6;1.4;17.1;0.5;73.1;11.6;0
75.3;199.0;105.8;2.8;8.5;2.9;73.5;7.8;0
68.2;186.0;79.3;2.4;0.8;0.4;69.6;5.1;0
87.7;192.0;91.2;2.6;9.6;2.0;85.8;9.3;0
64.2;174.0;101.9;1.8;2.6;5.1;62.8;4.1;0
75.3;180.0;84.3;3.4;5.9;1.0;75.6;3.6;0
74.0;178.0;68.4;1.4;7.4;2.4;72.3;5.6;0
80.7;172.0;138.2;4.3;5.8;4.3;78.8;4.8;0
81.8;187.0;57.9;2.9;20.6;0.3;78.2;4.2;0
81.8;181.0;118.6;2.4;13.3;4.4;77.2;3.5;0
81.7;184.0;79.0;2.3;11.7;2.9;78.7;5.6;0
80.1;175.0;110.0;3.1;13.9;0.8;77.8;10.4;0
81.7;181.0;94.4;1.6;7.6;2.4;79.2;8.7;0
86.5;170.0;83.6;1.3;0.1;2.8;87.2;2.5;0
96.3;186.0;83.9;1.1;18.1;0.5;91.9;7.6;0
83.1;171.0;103.5;4.5;0.9;5.6;83.8;4.1;0
73.1;169.0;79.1;3.1;16.4;5.2;68.1;6.6;0
78.8;187.0;69.9;4.4;1.2;5.2;81.6;3.1;0
82.2;189.0;90.3;3.4;14.8;0.6;81.2;8.0;0
91.3;181.0;88.0;1.5;2.0;1.1;90.8;11.2;0
75.9;176.0;89.2;2.4;17.6;0.6;71.5;11.2;0
81.8;181.0;156.3;1.2;9.4;5.6;76.8;3.1;0
80.2;187.0;66.5;1.2;4.5;2.1;79.1;5.9;0
74.9;211.0;113.0;2.5;19.3;1.5;71.5;9.0;0
94.7;187.0;57.8;3.7;3.3;3.1;95.4;7.8;0
72.2;207.0;113.0;1.5;10.6;5.4;69.1;6.3;0
84.1;195.0;68.6;2.0;0.2;1.1;85.6;2.2;0
81.0;185.0;67.7;2.7;19.8;0.7;76.9;8.4;0
91.9;164.0;75.0;3.0;2.4;3.9;92.2;3.2;0
89.4;164.0;121.6;1.9;5.1;3.7;86.3;6.4;0
83.8;199.0;99.2;2.3;4.3;1.1;83.5;8.4;0
80.3;187.0;105.6;2.0;13.0;0.2;77.0;3.1;0
75.3;187.0;110.9;1.7;20.7;0.4;69.4;3.6;0
72.3;175.0;69.4;4.1;12.0;3.2;73.1;6.2;0
84.2;183.0;88.8;2.2;0.5;1.9;84.3;7.6;0
94.1;196.0;128.7;2.7;4.5;0.5;93.2;7.6;0
72.5;192.0;89.3;4.5;17.1;0.8;71.5;3.5;0
96.6;187.0;108.0;2.6;16.9;3.9;92.6;8.0;0
78.2;184.0;124.3;1.1;5.9;0.5;76.2;1.8;0
76.5;172.0;53.4;1.0;17.5;0.8;71.5;3.0;0
74.3;186.0;61.3;2.2;9.7;1.4;72.9;4.0;0
85.7;155.0;105.7;1.9;9.0;3.5;82.0;3.2;0
81.1;191.0;84.0;0.9;7.4;4.2;79.3;7.8;0
67.4;169.0;108.0;1.5;10.2;5.2;61.2;1.6;0
86.7;184.0;103.9;3.6;6.6;2.5;85.0;8.2;0
81.2;202.0;117.1;1.9;11.2;1.7;78.9;3.4;0
78.7;185.0;65.8;2.8;17.7;0.1;75.9;6.3;0
88.0;180.0;72.4;2.1;19.8;0.8;81.6;6.9;0
84.6;172.0;88.8;1.4;6.9;5.7;80.8;8.3;0
80.5;186.0;53.6;1.7;2.2;0.8;80.2;8.4;0
82.0;191.0;127.9;3.2;16.6;3.5;79.0;2.5;0
80.2;177.0;97.7;2.3;7.5;0.6;78.7;5.5;0
77.6;197.0;89.7;1.3;3.8;4.4;75.7;7.1;0
81.3;156.0;76.6;0.5;2.4;5.3;78.5;5.2;0
75.8;189.0;95.3;2.8;2.0;4.9;76.7;3.8;0
81.5;196.0;77.4;2.6;18.1;0.1;78.3;4.5;0
66.8;186.0;96.4;2.8;1.5;5.1;68.2;5.0;0
91.7;177.0;113.5;2.1;22.1;3.6;85.3;3.1;0
81.7;189.0;115.7;0.2;14.6;2.1;77.0;7.5;0
72.3;205.0;74.4;1.2;4.3;1.1;71.5;8.8;0
75.2;196.0;54.5;3.1;2.5;4.3;76.6;8.7;0
101.6;164.0;92.7;2.6;18.5;1.3;97.6;2.9;0
83.9;203.0;93.5;3.3;6.8;0.0;84.3;9.2;0
100.5;173.0;97.4;1.8;16.0;1.0;97.6;5.7;0
69.1;192.0;114.4;1.1;2.1;2.8;67.7;5.4;0
82.6;183.0;101.2;3.6;19.9;0.4;78.3;6.2;0
75.1;168.0;87.5;2.0;4.5;1.9;73.8;9.0;0
91.9;200.0;91.2;1.3;7.9;3.7;88.3;4.1;0
90.3;166.0;131.6;2.2;2.0;3.4;87.9;2.3;0
81.9;182.0;54.6;0.4;11.7;1.0;78.5;3.3;0
84.8;180.0;143.5;0.8;4.4;4.6;81.0;4.2;0
97.1;199.0;114.7;3.1;7.8;2.2;96.5;6.4;0
86.7;199.0;75.0;1.1;17.4;5.4;78.9;3.8;0
78.7;187.0;58.4;2.1;14.2;1.4;76.2;7.9;0
90.8;187.0;88.0;1.0;5.2;4.3;87.9;4.5;0
66.4;181.0;92.1;1.1;4.5;4.4;64.3;4.2;0
80.1;161.0;114.1;2.8;19.0;1.1;74.5;8.6;0
81.6;179.0;57.6;1.7;9.4;0.4;80.6;5.7;0
83.0;211.0;65.4;1.1;17.7;0.4;78.6;5.2;0
73.0;171.0;112.1;2.1;3.8;0.1;71.8;10.1;0
75.2;198.0;85.1;3.8;17.6;0.3;75.9;5.7;0
80.1;191.0;98.5;4.0;12.9;0.2;78.5;6.8;0
74.8;180.0;112.0;1.8;16.6;1.6;70.6;3.3;0
98.0;188.0;95.2;3.7;12.7;0.7;97.9;4.0;0
77.9;179.0;98.8;2.1;4.0;4.3;77.9;3.8;0
67.9;170.0;71.7;2.9;20.6;0.5;62.1;5.6;0
91.1;200.0;97.0;2.3;6.4;5.5;89.0;9.4;0
81.6;172.0;77.5;4.9;18.2;3.2;81.7;8.7;0
83.4;191.0;84.4;3.3;21.6;2.9;80.4;6.4;0
79.0;187.0;50.4;2.1;1.1;0.4;79.8;3.3;0
85.8;179.0;141.5;5.3;14.7;2.2;83.8;3.9;0
74.5;166.0;67.9;2.7;4.5;4.4;74.5;2.8;0
75.4;170.0;90.9;3.9;19.5;0.5;71.6;9.7;0
91.0;190.0;139.4;1.7;0.5;0.7;90.0;9.5;0
76.8;205.0;110.6;4.1;12.2;4.6;75.9;6.8;0
83.5;175.0;115.7;1.7;14.4;5.0;78.5;5.4;0
92.5;180.0;63.7;1.9;18.8;0.8;88.8;4.2;0
81.8;173.0;95.5;0.4;17.6;1.2;78.5;9.3;0
95.4;173.0;86.0;0.9;10.5;0.6;93.2;6.0;0
83.9;196.0;77.3;4.1;14.4;4.7;81.8;2.6;0
75.1;158.0;114.2;1.0;5.3;0.3;71.6;3.8;0
79.4;172.0;67.1;1.2;16.2;2.1;72.7;4.1;0
92.7;204.0;106.8;3.3;2.8;0.2;93.4;5.0;0
82.8;182.0;84.7;2.1;17.5;4.7;77.5;6.0;0
90.8;173.0;76.4;3.3;6.7;1.5;90.8;4.0;0
83.5;207.0;64.7;3.4;0.7;2.2;85.0;4.6;0
89.6;173.0;82.8;2.7;10.6;4.8;87.2;10.1;0
74.3;179.0;84.4;1.7;4.3;5.2;72.8;2.0;0
72.7;179.0;87.8;1.6;2.4;0.8;72.3;9.8;0
87.1;175.0;87.5;1.1;8.3;3.6;85.6;2.0;0
72.4;183.0;83.7;3.2;0.9;0.5;74.0;10.0;0
94.3;176.0;90.6;1.9;14.8;5.0;87.9;10.8;0
86.6;195.0;57.3;1.9;3.1;4.1;86.5;4.6;0
89.6;186.0;102.1;3.5;16.7;1.3;87.1;8.7;0
83.8;188.0;63.2;5.3;14.9;5.0;81.6;2.4;0
79.1;198.0;97.5;3.9;16.2;0.9;76.5;9.5;0
89.8;190.0;53.2;2.6;14.0;0.6;89.0;7.4;0
83.8;175.0;121.5;3.0;1.4;5.6;81.0;9.0;0
76.5;197.0;50.9;3.7;9.5;1.0;75.3;9.4;0
83.0;195.0;161.9;2.4;4.9;5.7;80.2;8.3;0
88.3;174.0;69.9;2.4;0.3;2.1;89.9;3.7;0
102.2;205.0;77.5;1.3;5.1;3.5;101.6;6.3;1
82.9;184.0;61.6;1.4;6.2;0.7;81.4;2.6;0
80.6;188.0;105.3;5.2;20.2;0.3;78.9;4.0;0
68.2;177.0;77.1;3.2;3.9;3.2;66.9;10.7;0
88.0;182.0;73.9;4.2;9.5;0.4;88.1;6.9;0
88.5;180.0;128.7;3.6;17.4;1.9;84.1;13.6;0
93.3;180.0;124.8;3.6;0.7;2.4;92.6;6.1;0
78.4;188.0;132.3;2.8;13.3;4.5;75.9;4.8;0
78.9;175.0;63.0;3.4;0.9;3.5;81.0;9.3;0
91.4;171.0;50.9;1.8;18.5;0.3;86.8;2.7;0
82.7;189.0;85.9;2.8;0.4;0.7;84.1;9.3;0
84.4;178.0;80.6;1.9;2.6;3.9;84.2;7.1;0
79.5;198.0;106.8;0.7;2.7;1.3;78.2;5.8;0
89.2;192.0;145.3;2.6;14.2;2.0;84.5;11.6;0
76.1;184.0;139.8;0.2;12.7;2.8;69.9;8.4;0
93.0;187.0;87.6;0.8;3.2;0.3;92.4;4.4;0
73.1;187.0;97.7;2.3;5.8;1.2;72.3;2.7;0
77.2;192.0;75.8;0.5;4.7;1.3;76.0;3.8;0
83.2;178.0;96.4;1.6;17.6;1.2;78.4;7.8;0
93.1;208.0;124.2;0.6;4.4;0.4;91.7;2.1;0
78.3;185.0;82.7;5.1;14.9;0.4;79.6;2.8;0
84.0;188.0;101.2;5.4;4.3;1.3;87.7;2.3;0
86.8;165.0;116.9;3.7;18.0;1.1;84.2;6.4;0
86.3;199.0;84.6;1.6;2.9;0.4;86.4;3.0;0
93.0;165.0;95.4;3.6;15.0;0.4;91.8;6.6;0
82.4;181.0;68.2;1.4;7.7;0.5;81.7;2.0;0
74.5;176.0;50.8;4.0;14.0;4.4;71.1;3.7;0
87.1;184.0;132.2;1.7;15.3;0.3;84.0;1.8;0
91.4;163.0;61.5;4.2;18.0;4.0;89.2;5.5;0
87.2;176.0;122.1;1.0;7.7;4.7;83.6;4.2;0
80.3;192.0;115.0;2.6;16.7;1.2;75.7;7.7;0
72.7;195.0;83.5;4.7;21.7;3.0;71.7;8.7;0
69.7;194.0;80.5;2.8;0.2;0.6;72.1;5.3;0
75.2;195.0;51.6;4.8;16.4;5.2;74.3;7.1;0
77.3;157.0;123.3;3.5;21.5;1.5;73.3;3.1;0
84.2;181.0;91.8;0.5;0.0;0.4;84.0;3.8;0
85.0;170.0;52.9;2.1;8.4;4.3;82.9;8.5;0
77.8;179.0;78.0;2.1;20.3;2.3;72.4;10.7;0
79.2;179.0;89.5;3.4;17.2;0.9;76.3;10.8;0
76.9;202.0;65.3;3.5;20.1;3.9;73.6;9.9;0
82.3;180.0;81.2;0.5;2.9;4.0;80.3;13.5;0
81.9;191.0;133.1;3.7;18.9;5.6;77.3;3.5;0
92.9;192.0;118.8;3.4;0.4;0.3;95.5;5.5;0
72.9;212.0;126.1;0.5;4.2;3.4;71.7;3.9;0
93.5;178.0;92.8;2.1;21.8;4.1;90.0;5.8;0
86.0;167.0;87.5;5.4;16.5;5.0;82.6;8.2;0
82.0;181.0;126.4;3.2;6.1;0.4;80.3;9.5;0
77.6;175.0;122.6;2.8;16.1;0.7;77.7;4.1;0
100.0;207.0;77.8;3.9;10.4;2.2;101.2;2.5;1
81.7;206.0;60.4;3.4;20.0;3.3;76.0;7.5;0
90.1;182.0;83.3;4.1;6.1;5.4;90.2;7.6;0
94.2;175.0;134.1;1.7;8.0;1.0;91.8;2.1;0
87.4;189.0;82.1;2.3;12.3;0.4;84.8;4.5;0
78.2;170.0;84.0;1.8;17.8;2.2;72.6;13.8;0
89.5;174.0;140.8;2.6;6.2;4.8;86.8;2.1;0
72.7;197.0;73.2;4.6;20.1;0.4;69.9;3.5;0
87.8;195.0;68.2;4.0;0.2;0.8;89.1;8.8;0
92.7;171.0;99.3;1.1;4.2;5.1;89.8;5.8;0
83.8;171.0;73.9;1.3;18.8;0.6;78.6;1.1;0
77.2;207.0;88.3;1.7;6.3;0.6;77.6;11.0;0
81.8;176.0;124.1;3.5;13.0;0.6;79.6;5.9;0
80.2;201.0;75.9;1.3;3.8;0.2;79.7;6.8;0
90.9;180.0;84.4;3.4;17.2;5.3;85.7;5.5;0
83.6;180.0;61.6;2.5;4.5;0.6;83.9;4.9;0
78.8;192.0;50.9;2.0;1.4;0.6;79.4;5.2;0
83.3;178.0;121.3;0.8;0.9;0.6;82.5;6.0;0
84.8;163.0;62.8;3.3;8.4;1.2;86.0;3.4;0
74.3;164.0;132.2;4.5;13.8;0.3;67.6;6.4;0
68.6;197.0;97.8;2.5;4.5;4.3;67.8;7.3;0
90.9;173.0;88.3;2.0;20.7;0.5;86.4;7.6;0
84.5;189.0;94.3;3.9;9.8;4.3;83.6;6.7;0
89.1;182.0;83.7;2.0;0.1;3.7;88.9;4.1;0
74.5;187.0;77.6;2.6;0.2;1.3;75.3;4.6;0
72.4;178.0;127.4;5.3;11.8;0.7;72.0;7.1;0
91.6;181.0;72.2;2.9;2.3;0.9;92.8;5.8;0
67.1;192.0;109.1;2.8;2.6;3.6;66.6;9.0;0
89.8;187.0;119.1;0.2;19.1;4.8;80.8;6.1;0
82.7;191.0;106.8;1.8;0.2;3.5;82.9;2.6;0
83.2;197.0;104.5;1.6;17.3;3.4;81.6;8.6;0
88.3;198.0;89.4;3.8;16.3;1.9;85.2;5.9;0
97.2;204.0;91.5;1.4;0.8;0.9;97.6;2.6;0
79.0;211.0;116.4;2.7;18.9;2.0;74.2;4.2;0
78.3;193.0;133.4;1.6;19.4;3.7;74.0;4.2;0
79.5;182.0;97.3;0.7;3.9;0.3;78.8;8.2;0
78.9;192.0;127.4;3.2;0.2;0.2;79.9;3.7;0
