,genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan
48,86.1,176.0,64.4,2.0,16.4,2.0,3.5,83.0
49,79.7,169.0,58.6,2.0,14.6,2.3,6.5,76.3
50,85.6,189.0,138.9,1.4,10.6,4.5,7.8,80.2
51,83.8,201.0,78.2,1.1,0.2,5.0,4.7,82.9
52,80.9,174.0,56.7,2.0,0.3,2.0,8.1,80.9
53,75.6,200.0,85.4,3.1,8.5,6.0,5.3,74.4
54,92.7,188.0,57.0,2.9,3.8,5.0,5.4,91.4
55,81.1,167.0,63.9,1.8,14.0,0.1,11.4,78.8
56,80.2,199.0,82.0,3.8,0.7,2.4,4.2,82.3
57,81.6,179.0,108.7,2.7,21.2,0.2,7.1,80.4
58,84.4,163.0,68.4,2.2,2.8,1.2,7.1,85.0
59,66.2,169.0,95.7,1.8,7.3,0.3,11.4,65.1
60,85.6,187.0,103.6,2.1,0.2,0.5,3.4,86.6
61,90.0,169.0,77.4,3.6,13.0,1.5,8.3,88.7
62,73.6,200.0,53.0,4.4,10.2,0.7,3.6,72.9
63,81.6,196.0,74.6,2.9,15.4,4.7,4.5,79.4
64,85.8,171.0,102.8,1.2,2.8,0.9,5.3,84.3
65,81.6,171.0,142.3,1.2,19.7,0.4,8.0,73.6
66,85.3,193.0,86.1,2.8,15.4,5.1,6.7,80.0
67,81.7,197.0,64.2,3.8,13.8,3.3,3.1,80.4
68,84.6,201.0,62.6,3.5,11.4,1.4,3.1,83.0
69,93.2,182.0,95.3,4.0,9.8,4.7,6.0,91.3
70,99.5,179.0,85.5,2.5,10.0,5.7,9.7,96.3
71,88.3,180.0,92.3,3.0,1.0,2.4,5.2,89.8
72,79.3,168.0,70.0,2.0,17.8,3.9,10.1,75.9
73,72.1,205.0,135.6,3.7,3.0,4.8,6.0,71.4
74,97.0,185.0,74.2,3.7,10.9,4.0,7.4,95.1
75,89.8,186.0,107.1,3.2,10.7,4.8,9.8,88.4
76,80.6,184.0,59.6,2.3,15.4,1.3,1.7,77.0
77,84.3,164.0,105.0,4.3,19.8,4.5,8.0,78.9
78,80.6,169.0,68.0,2.7,9.1,4.9,4.9,80.0
79,79.4,178.0,143.3,0.2,13.1,2.1,10.3,71.3
80,89.8,185.0,109.9,1.5,0.5,5.1,8.8,88.0
81,86.6,171.0,115.1,1.3,1.8,0.4,7.1,84.6
82,89.9,173.0,85.6,2.7,21.0,1.7,6.0,86.6
83,90.3,206.0,128.5,2.1,1.4,3.9,7.0,89.8
84,77.8,171.0,111.2,3.9,0.4,5.1,4.9,77.6
85,82.4,166.0,113.1,0.1,18.1,4.7,6.0,74.1
86,85.3,196.0,113.0,2.0,10.7,0.6,7.4,82.5
87,84.7,173.0,105.0,1.5,5.4,4.2,3.9,81.8
88,87.9,210.0,65.3,2.4,11.0,4.2,2.1,84.4
89,75.6,179.0,61.6,2.3,20.3,1.4,4.9,70.6
90,81.1,205.0,61.4,1.2,7.6,4.6,5.2,78.1
91,67.2,181.0,129.2,2.2,3.0,0.5,10.7,65.4
92,77.2,165.0,61.8,3.1,5.8,5.3,8.0,76.4
93,69.7,170.0,93.4,1.2,11.7,3.8,11.8,65.5
94,88.7,177.0,123.3,1.7,11.6,2.1,2.5,85.3
95,73.6,198.0,135.1,2.5,6.1,4.5,8.4,71.9
96,76.8,194.0,66.8,1.8,15.5,0.9,7.8,73.9
97,82.7,178.0,86.9,4.3,0.8,0.5,4.9,86.3
98,84.7,189.0,115.4,2.6,9.6,4.8,8.0,82.8
99,77.1,191.0,54.6,2.1,20.0,0.4,7.1,72.9
100,76.7,173.0,70.9,1.7,11.6,1.3,4.7,74.4
101,100.1,188.0,129.2,1.8,0.1,4.6,6.9,100.1
102,76.7,198.0,61.6,1.4,1.2,1.7,4.8,76.8
103,76.6,190.0,74.1,1.4,20.6,0.3,6.8,73.0
104,98.1,179.0,72.1,2.2,11.6,3.1,8.1,96.1
105,92.7,191.0,68.3,3.5,8.0,1.3,4.7,91.8
106,79.8,193.0,123.0,1.8,18.0,1.7,6.1,76.2
107,76.2,184.0,94.1,1.4,6.5,2.8,7.3,75.8
108,90.2,172.0,76.3,0.2,11.0,3.6,8.5,86.1
109,81.5,198.0,73.1,1.7,16.6,3.9,4.3,76.9
110,79.2,194.0,80.3,3.4,17.5,3.8,9.0,74.9
111,75.8,188.0,115.1,1.8,4.1,3.5,6.8,74.3
112,75.6,181.0,87.4,3.4,5.0,4.2,11.3,73.7
113,77.4,210.0,76.6,1.6,2.3,0.1,12.7,77.3
114,78.9,184.0,85.5,2.9,11.0,0.8,6.1,77.8
115,77.2,177.0,113.9,2.9,21.9,0.6,4.7,75.6
116,89.4,182.0,106.8,1.5,18.7,4.5,11.8,84.0
117,77.3,171.0,88.3,1.6,14.7,0.3,10.6,74.4
118,77.7,184.0,146.0,1.9,1.4,4.5,3.4,76.3
119,88.0,174.0,84.4,3.2,1.9,4.7,5.6,88.7
120,73.5,174.0,142.7,1.7,20.1,3.0,5.2,63.4
121,74.9,182.0,112.7,4.2,0.2,0.4,10.4,75.0
122,98.0,191.0,154.8,2.7,17.3,0.5,6.5,92.5
123,86.0,184.0,115.6,0.8,21.6,4.3,8.7,79.0
124,91.8,160.0,92.0,4.7,15.1,0.6,10.1,92.6
125,68.9,192.0,83.0,3.4,6.1,2.6,8.0,68.4
126,81.7,163.0,110.3,1.4,16.8,4.8,3.6,77.3
127,91.7,178.0,70.8,0.9,7.5,1.2,7.0,90.2
128,78.7,173.0,96.5,1.7,8.9,0.4,4.8,75.3
129,69.5,171.0,55.0,4.0,0.6,0.7,7.9,71.1
130,76.3,209.0,82.9,1.5,16.6,0.5,7.1,72.3
131,78.3,169.0,113.5,1.7,0.2,1.0,6.2,77.7
132,86.3,185.0,66.4,2.3,19.1,0.9,10.4,81.1
133,82.2,205.0,94.6,2.8,6.9,5.3,4.4,81.0
134,84.3,177.0,96.1,1.3,9.6,5.3,7.1,80.8
135,73.3,198.0,159.5,1.7,19.4,4.6,7.1,62.7
136,80.0,176.0,74.3,5.4,5.0,1.5,5.6,81.8
137,79.5,198.0,60.7,2.4,3.4,5.4,3.2,80.6
138,74.1,202.0,91.5,1.4,18.7,0.9,8.0,70.5
139,88.7,181.0,79.4,1.8,4.5,0.3,13.3,87.7
140,86.8,196.0,96.9,2.0,12.4,3.9,5.1,84.3
141,76.7,172.0,107.4,3.1,9.6,3.5,10.5,73.9
142,84.5,178.0,56.0,3.2,13.8,0.8,6.8,83.2
143,80.4,184.0,51.0,1.5,1.1,0.5,5.8,80.2
144,81.8,172.0,98.8,3.0,3.7,5.0,9.2,81.6
145,75.5,171.0,97.9,1.3,7.6,0.3,2.3,73.7
146,91.4,188.0,97.6,1.3,14.1,4.3,6.7,88.0
147,93.7,192.0,64.5,2.6,18.4,5.1,6.3,89.6
148,86.2,197.0,97.5,3.6,1.0,4.1,3.2,86.9
149,82.6,200.0,102.7,1.7,10.1,2.7,2.3,81.0
150,71.6,191.0,110.5,5.3,12.7,3.6,3.7,72.2
151,75.9,187.0,66.0,2.0,16.1,4.2,8.2,70.8
152,93.2,163.0,112.5,4.7,12.8,0.7,7.0,89.8
153,86.0,167.0,119.1,3.3,20.2,0.4,6.2,79.9
154,83.8,199.0,57.3,1.8,0.1,1.1,3.2,84.0
155,84.3,170.0,108.9,3.5,18.6,1.0,4.5,79.2
156,90.5,179.0,65.5,2.1,11.8,0.9,0.8,86.5
157,75.7,203.0,60.8,2.5,17.9,0.8,6.2,71.9
158,92.1,192.0,83.3,1.6,21.6,0.2,8.7,85.6
159,73.0,191.0,82.9,2.6,10.7,0.1,7.0,71.1
160,77.0,179.0,138.8,2.6,21.6,0.2,4.4,72.5
161,81.1,173.0,53.9,1.9,0.2,5.0,8.9,81.0
162,92.6,201.0,108.7,2.3,12.2,3.5,11.9,90.0
163,85.5,209.0,74.6,0.5,20.7,3.8,2.4,77.4
164,80.0,184.0,118.0,2.4,15.3,0.9,9.1,77.0
165,84.6,187.0,62.3,2.3,19.9,0.5,7.7,80.0
166,76.2,175.0,59.1,1.8,17.5,0.4,6.0,72.6
167,84.0,191.0,69.0,1.9,13.0,5.3,8.3,79.4
168,85.3,178.0,103.3,0.7,9.9,0.9,12.2,82.2
169,77.2,175.0,106.5,3.3,19.0,1.7,9.1,72.5
170,65.3,190.0,50.5,1.0,7.4,2.3,4.5,62.9
171,80.1,193.0,79.0,2.5,15.4,4.2,5.7,75.5
172,83.7,204.0,129.2,1.8,6.3,4.2,2.8,82.6
173,84.8,183.0,108.4,4.6,11.3,0.4,7.2,83.3
174,92.7,175.0,122.6,1.8,0.0,0.8,4.0,92.0
175,79.8,172.0,148.5,2.3,5.4,0.7,9.7,75.8
176,75.9,206.0,83.8,2.1,3.0,0.4,2.6,77.2
177,85.0,166.0,90.1,3.1,18.1,0.2,3.6,82.4
178,91.5,177.0,107.1,3.7,14.1,3.2,3.1,89.6
179,86.1,182.0,66.3,3.9,0.9,0.2,3.1,88.7
180,77.3,193.0,114.8,2.1,8.2,0.9,9.0,74.7
181,81.3,175.0,50.4,2.3,13.2,1.7,11.8,78.8
182,83.5,177.0,63.8,4.2,4.5,0.7,2.3,85.6
183,83.6,200.0,107.2,1.8,0.4,1.0,9.3,84.2
184,78.8,181.0,94.4,3.7,16.8,5.3,2.3,73.6
185,81.1,175.0,51.4,0.5,9.8,4.1,2.9,78.3
186,78.0,185.0,72.9,3.1,4.4,3.7,12.2,78.6
187,67.1,181.0,98.8,1.5,12.2,0.7,5.7,64.2
188,78.6,179.0,52.9,3.6,4.5,0.4,2.8,79.3
189,85.5,196.0,131.7,1.9,11.3,1.5,8.3,81.6
190,83.2,191.0,73.5,2.8,15.3,0.4,1.2,80.2
191,91.0,183.0,63.3,1.0,13.9,4.9,8.8,86.9
192,78.2,172.0,76.0,2.1,12.5,2.4,8.6,76.3
193,77.3,189.0,128.9,4.5,0.1,1.0,5.4,79.5
194,78.7,201.0,68.3,2.3,16.4,0.7,7.0,75.6
195,98.5,188.0,105.9,0.8,0.1,4.6,8.0,95.8
196,79.3,191.0,61.8,4.5,7.6,3.9,9.1,78.5
197,72.4,166.0,125.2,1.4,19.5,1.7,7.9,65.3
198,80.8,170.0,94.3,1.1,15.8,1.6,4.5,77.0
199,77.8,168.0,112.1,0.7,17.7,0.3,10.0,72.1
200,91.1,166.0,64.2,2.7,1.4,2.2,5.9,92.2
201,75.0,199.0,136.9,1.5,10.5,4.2,3.9,71.9
202,79.3,179.0,68.2,2.9,17.9,4.0,3.7,72.8
203,76.3,194.0,70.6,1.4,17.1,0.5,11.6,73.1
204,75.3,199.0,105.8,2.8,8.5,2.9,7.8,73.5
205,68.2,186.0,79.3,2.4,0.8,0.4,5.1,69.6
206,87.7,192.0,91.2,2.6,9.6,2.0,9.3,85.8
207,64.2,174.0,101.9,1.8,2.6,5.1,4.1,62.8
208,75.3,180.0,84.3,3.4,5.9,1.0,3.6,75.6
209,74.0,178.0,68.4,1.4,7.4,2.4,5.6,72.3
210,80.7,172.0,138.2,4.3,5.8,4.3,4.8,78.8
211,81.8,187.0,57.9,2.9,20.6,0.3,4.2,78.2
212,81.8,181.0,118.6,2.4,13.3,4.4,3.5,77.2
213,81.7,184.0,79.0,2.3,11.7,2.9,5.6,78.7
214,80.1,175.0,110.0,3.1,13.9,0.8,10.4,77.8
215,81.7,181.0,94.4,1.6,7.6,2.4,8.7,79.2
216,86.5,170.0,83.6,1.3,0.1,2.8,2.5,87.2
217,96.3,186.0,83.9,1.1,18.1,0.5,7.6,91.9
218,83.1,171.0,103.5,4.5,0.9,5.6,4.1,83.8
219,73.1,169.0,79.1,3.1,16.4,5.2,6.6,68.1
220,78.8,187.0,69.9,4.4,1.2,5.2,3.1,81.6
221,82.2,189.0,90.3,3.4,14.8,0.6,8.0,81.2
222,91.3,181.0,88.0,1.5,2.0,1.1,11.2,90.8
223,75.9,176.0,89.2,2.4,17.6,0.6,11.2,71.5
224,81.8,181.0,156.3,1.2,9.4,5.6,3.1,76.8
225,80.2,187.0,66.5,1.2,4.5,2.1,5.9,79.1
226,74.9,211.0,113.0,2.5,19.3,1.5,9.0,71.5
227,94.7,187.0,57.8,3.7,3.3,3.1,7.8,95.4
228,72.2,207.0,113.0,1.5,10.6,5.4,6.3,69.1
229,84.1,195.0,68.6,2.0,0.2,1.1,2.2,85.6
230,81.0,185.0,67.7,2.7,19.8,0.7,8.4,76.9
231,91.9,164.0,75.0,3.0,2.4,3.9,3.2,92.2
232,89.4,164.0,121.6,1.9,5.1,3.7,6.4,86.3
233,83.8,199.0,99.2,2.3,4.3,1.1,8.4,83.5
234,80.3,187.0,105.6,2.0,13.0,0.2,3.1,77.0
235,75.3,187.0,110.9,1.7,20.7,0.4,3.6,69.4
236,72.3,175.0,69.4,4.1,12.0,3.2,6.2,73.1
237,84.2,183.0,88.8,2.2,0.5,1.9,7.6,84.3
238,94.1,196.0,128.7,2.7,4.5,0.5,7.6,93.2
239,72.5,192.0,89.3,4.5,17.1,0.8,3.5,71.5
240,96.6,187.0,108.0,2.6,16.9,3.9,8.0,92.6
241,78.2,184.0,124.3,1.1,5.9,0.5,1.8,76.2
242,76.5,172.0,53.4,1.0,17.5,0.8,3.0,71.5
243,74.3,186.0,61.3,2.2,9.7,1.4,4.0,72.9
244,85.7,155.0,105.7,1.9,9.0,3.5,3.2,82.0
245,81.1,191.0,84.0,0.9,7.4,4.2,7.8,79.3
246,67.4,169.0,108.0,1.5,10.2,5.2,1.6,61.2
247,86.7,184.0,103.9,3.6,6.6,2.5,8.2,85.0
248,81.2,202.0,117.1,1.9,11.2,1.7,3.4,78.9
249,78.7,185.0,65.8,2.8,17.7,0.1,6.3,75.9
250,88.0,180.0,72.4,2.1,19.8,0.8,6.9,81.6
251,84.6,172.0,88.8,1.4,6.9,5.7,8.3,80.8
252,80.5,186.0,53.6,1.7,2.2,0.8,8.4,80.2
253,82.0,191.0,127.9,3.2,16.6,3.5,2.5,79.0
254,80.2,177.0,97.7,2.3,7.5,0.6,5.5,78.7
255,77.6,197.0,89.7,1.3,3.8,4.4,7.1,75.7
256,81.3,156.0,76.6,0.5,2.4,5.3,5.2,78.5
257,75.8,189.0,95.3,2.8,2.0,4.9,3.8,76.7
258,81.5,196.0,77.4,2.6,18.1,0.1,4.5,78.3
259,66.8,186.0,96.4,2.8,1.5,5.1,5.0,68.2
260,91.7,177.0,113.5,2.1,22.1,3.6,3.1,85.3
261,81.7,189.0,115.7,0.2,14.6,2.1,7.5,77.0
262,72.3,205.0,74.4,1.2,4.3,1.1,8.8,71.5
263,75.2,196.0,54.5,3.1,2.5,4.3,8.7,76.6
264,101.6,164.0,92.7,2.6,18.5,1.3,2.9,97.6
265,83.9,203.0,93.5,3.3,6.8,0.0,9.2,84.3
266,100.5,173.0,97.4,1.8,16.0,1.0,5.7,97.6
267,69.1,192.0,114.4,1.1,2.1,2.8,5.4,67.7
268,82.6,183.0,101.2,3.6,19.9,0.4,6.2,78.3
269,75.1,168.0,87.5,2.0,4.5,1.9,9.0,73.8
270,91.9,200.0,91.2,1.3,7.9,3.7,4.1,88.3
271,90.3,166.0,131.6,2.2,2.0,3.4,2.3,87.9
272,81.9,182.0,54.6,0.4,11.7,1.0,3.3,78.5
273,84.8,180.0,143.5,0.8,4.4,4.6,4.2,81.0
274,97.1,199.0,114.7,3.1,7.8,2.2,6.4,96.5
275,86.7,199.0,75.0,1.1,17.4,5.4,3.8,78.9
276,78.7,187.0,58.4,2.1,14.2,1.4,7.9,76.2
277,90.8,187.0,88.0,1.0,5.2,4.3,4.5,87.9
278,66.4,181.0,92.1,1.1,4.5,4.4,4.2,64.3
279,80.1,161.0,114.1,2.8,19.0,1.1,8.6,74.5
280,81.6,179.0,57.6,1.7,9.4,0.4,5.7,80.6
281,83.0,211.0,65.4,1.1,17.7,0.4,5.2,78.6
282,73.0,171.0,112.1,2.1,3.8,0.1,10.1,71.8
283,75.2,198.0,85.1,3.8,17.6,0.3,5.7,75.9
284,80.1,191.0,98.5,4.0,12.9,0.2,6.8,78.5
285,74.8,180.0,112.0,1.8,16.6,1.6,3.3,70.6
286,98.0,188.0,95.2,3.7,12.7,0.7,4.0,97.9
287,77.9,179.0,98.8,2.1,4.0,4.3,3.8,77.9
288,67.9,170.0,71.7,2.9,20.6,0.5,5.6,62.1
289,91.1,200.0,97.0,2.3,6.4,5.5,9.4,89.0
290,81.6,172.0,77.5,4.9,18.2,3.2,8.7,81.7
291,83.4,191.0,84.4,3.3,21.6,2.9,6.4,80.4
292,79.0,187.0,50.4,2.1,1.1,0.4,3.3,79.8
293,85.8,179.0,141.5,5.3,14.7,2.2,3.9,83.8
294,74.5,166.0,67.9,2.7,4.5,4.4,2.8,74.5
295,75.4,170.0,90.9,3.9,19.5,0.5,9.7,71.6
296,91.0,190.0,139.4,1.7,0.5,0.7,9.5,90.0
297,76.8,205.0,110.6,4.1,12.2,4.6,6.8,75.9
298,83.5,175.0,115.7,1.7,14.4,5.0,5.4,78.5
299,92.5,180.0,63.7,1.9,18.8,0.8,4.2,88.8
300,81.8,173.0,95.5,0.4,17.6,1.2,9.3,78.5
301,95.4,173.0,86.0,0.9,10.5,0.6,6.0,93.2
302,83.9,196.0,77.3,4.1,14.4,4.7,2.6,81.8
303,75.1,158.0,114.2,1.0,5.3,0.3,3.8,71.6
304,79.4,172.0,67.1,1.2,16.2,2.1,4.1,72.7
305,92.7,204.0,106.8,3.3,2.8,0.2,5.0,93.4
306,82.8,182.0,84.7,2.1,17.5,4.7,6.0,77.5
307,90.8,173.0,76.4,3.3,6.7,1.5,4.0,90.8
308,83.5,207.0,64.7,3.4,0.7,2.2,4.6,85.0
309,89.6,173.0,82.8,2.7,10.6,4.8,10.1,87.2
310,74.3,179.0,84.4,1.7,4.3,5.2,2.0,72.8
311,72.7,179.0,87.8,1.6,2.4,0.8,9.8,72.3
312,87.1,175.0,87.5,1.1,8.3,3.6,2.0,85.6
313,72.4,183.0,83.7,3.2,0.9,0.5,10.0,74.0
314,94.3,176.0,90.6,1.9,14.8,5.0,10.8,87.9
315,86.6,195.0,57.3,1.9,3.1,4.1,4.6,86.5
316,89.6,186.0,102.1,3.5,16.7,1.3,8.7,87.1
317,83.8,188.0,63.2,5.3,14.9,5.0,2.4,81.6
318,79.1,198.0,97.5,3.9,16.2,0.9,9.5,76.5
319,89.8,190.0,53.2,2.6,14.0,0.6,7.4,89.0
320,83.8,175.0,121.5,3.0,1.4,5.6,9.0,81.0
321,76.5,197.0,50.9,3.7,9.5,1.0,9.4,75.3
322,83.0,195.0,161.9,2.4,4.9,5.7,8.3,80.2
323,88.3,174.0,69.9,2.4,0.3,2.1,3.7,89.9
324,102.2,205.0,77.5,1.3,5.1,3.5,6.3,101.6
325,82.9,184.0,61.6,1.4,6.2,0.7,2.6,81.4
326,80.6,188.0,105.3,5.2,20.2,0.3,4.0,78.9
327,68.2,177.0,77.1,3.2,3.9,3.2,10.7,66.9
328,88.0,182.0,73.9,4.2,9.5,0.4,6.9,88.1
329,88.5,180.0,128.7,3.6,17.4,1.9,13.6,84.1
330,93.3,180.0,124.8,3.6,0.7,2.4,6.1,92.6
331,78.4,188.0,132.3,2.8,13.3,4.5,4.8,75.9
332,78.9,175.0,63.0,3.4,0.9,3.5,9.3,81.0
333,91.4,171.0,50.9,1.8,18.5,0.3,2.7,86.8
334,82.7,189.0,85.9,2.8,0.4,0.7,9.3,84.1
335,84.4,178.0,80.6,1.9,2.6,3.9,7.1,84.2
336,79.5,198.0,106.8,0.7,2.7,1.3,5.8,78.2
337,89.2,192.0,145.3,2.6,14.2,2.0,11.6,84.5
338,76.1,184.0,139.8,0.2,12.7,2.8,8.4,69.9
339,93.0,187.0,87.6,0.8,3.2,0.3,4.4,92.4
340,73.1,187.0,97.7,2.3,5.8,1.2,2.7,72.3
341,77.2,192.0,75.8,0.5,4.7,1.3,3.8,76.0
342,83.2,178.0,96.4,1.6,17.6,1.2,7.8,78.4
343,93.1,208.0,124.2,0.6,4.4,0.4,2.1,91.7
344,78.3,185.0,82.7,5.1,14.9,0.4,2.8,79.6
345,84.0,188.0,101.2,5.4,4.3,1.3,2.3,87.7
346,86.8,165.0,116.9,3.7,18.0,1.1,6.4,84.2
347,86.3,199.0,84.6,1.6,2.9,0.4,3.0,86.4
348,93.0,165.0,95.4,3.6,15.0,0.4,6.6,91.8
349,82.4,181.0,68.2,1.4,7.7,0.5,2.0,81.7
350,74.5,176.0,50.8,4.0,14.0,4.4,3.7,71.1
351,87.1,184.0,132.2,1.7,15.3,0.3,1.8,84.0
352,91.4,163.0,61.5,4.2,18.0,4.0,5.5,89.2
353,87.2,176.0,122.1,1.0,7.7,4.7,4.2,83.6
354,80.3,192.0,115.0,2.6,16.7,1.2,7.7,75.7
355,72.7,195.0,83.5,4.7,21.7,3.0,8.7,71.7
356,69.7,194.0,80.5,2.8,0.2,0.6,5.3,72.1
357,75.2,195.0,51.6,4.8,16.4,5.2,7.1,74.3
358,77.3,157.0,123.3,3.5,21.5,1.5,3.1,73.3
359,84.2,181.0,91.8,0.5,0.0,0.4,3.8,84.0
360,85.0,170.0,52.9,2.1,8.4,4.3,8.5,82.9
361,77.8,179.0,78.0,2.1,20.3,2.3,10.7,72.4
362,79.2,179.0,89.5,3.4,17.2,0.9,10.8,76.3
363,76.9,202.0,65.3,3.5,20.1,3.9,9.9,73.6
364,82.3,180.0,81.2,0.5,2.9,4.0,13.5,80.3
365,81.9,191.0,133.1,3.7,18.9,5.6,3.5,77.3
366,92.9,192.0,118.8,3.4,0.4,0.3,5.5,95.5
367,72.9,212.0,126.1,0.5,4.2,3.4,3.9,71.7
368,93.5,178.0,92.8,2.1,21.8,4.1,5.8,90.0
369,86.0,167.0,87.5,5.4,16.5,5.0,8.2,82.6
370,82.0,181.0,126.4,3.2,6.1,0.4,9.5,80.3
371,77.6,175.0,122.6,2.8,16.1,0.7,4.1,77.7
372,100.0,207.0,77.8,3.9,10.4,2.2,2.5,101.2
373,81.7,206.0,60.4,3.4,20.0,3.3,7.5,76.0
374,90.1,182.0,83.3,4.1,6.1,5.4,7.6,90.2
375,94.2,175.0,134.1,1.7,8.0,1.0,2.1,91.8
376,87.4,189.0,82.1,2.3,12.3,0.4,4.5,84.8
377,78.2,170.0,84.0,1.8,17.8,2.2,13.8,72.6
378,89.5,174.0,140.8,2.6,6.2,4.8,2.1,86.8
379,72.7,197.0,73.2,4.6,20.1,0.4,3.5,69.9
380,87.8,195.0,68.2,4.0,0.2,0.8,8.8,89.1
381,92.7,171.0,99.3,1.1,4.2,5.1,5.8,89.8
382,83.8,171.0,73.9,1.3,18.8,0.6,1.1,78.6
383,77.2,207.0,88.3,1.7,6.3,0.6,11.0,77.6
384,81.8,176.0,124.1,3.5,13.0,0.6,5.9,79.6
385,80.2,201.0,75.9,1.3,3.8,0.2,6.8,79.7
386,90.9,180.0,84.4,3.4,17.2,5.3,5.5,85.7
387,83.6,180.0,61.6,2.5,4.5,0.6,4.9,83.9
388,78.8,192.0,50.9,2.0,1.4,0.6,5.2,79.4
389,83.3,178.0,121.3,0.8,0.9,0.6,6.0,82.5
390,84.8,163.0,62.8,3.3,8.4,1.2,3.4,86.0
391,74.3,164.0,132.2,4.5,13.8,0.3,6.4,67.6
392,68.6,197.0,97.8,2.5,4.5,4.3,7.3,67.8
393,90.9,173.0,88.3,2.0,20.7,0.5,7.6,86.4
394,84.5,189.0,94.3,3.9,9.8,4.3,6.7,83.6
395,89.1,182.0,83.7,2.0,0.1,3.7,4.1,88.9
396,74.5,187.0,77.6,2.6,0.2,1.3,4.6,75.3
397,72.4,178.0,127.4,5.3,11.8,0.7,7.1,72.0
398,91.6,181.0,72.2,2.9,2.3,0.9,5.8,92.8
399,67.1,192.0,109.1,2.8,2.6,3.6,9.0,66.6
400,89.8,187.0,119.1,0.2,19.1,4.8,6.1,80.8
401,82.7,191.0,106.8,1.8,0.2,3.5,2.6,82.9
402,83.2,197.0,104.5,1.6,17.3,3.4,8.6,81.6
403,88.3,198.0,89.4,3.8,16.3,1.9,5.9,85.2
404,97.2,204.0,91.5,1.4,0.8,0.9,2.6,97.6
405,79.0,211.0,116.4,2.7,18.9,2.0,4.2,74.2
406,78.3,193.0,133.4,1.6,19.4,3.7,4.2,74.0
407,79.5,182.0,97.3,0.7,3.9,0.3,8.2,78.8
408,78.9,192.0,127.4,3.2,0.2,0.2,3.7,79.9
